email,address_main,address_sub,zipcode,created_at,first_name,last_name,password,phone_number,rejoined_at,role,status,withdrawn_at
ieunju@example.com,충청남도 음성군 가락9로,353-9,02505,2024-09-14 00:33:56,호권,이,$2a$10$nGOQkHVH6WTnKers03V6kv,0335779479,NULL,USER,ACTIVE,NULL
yeeunan@example.org,충청남도 청주시 청원구 삼성길,737 (경자김면),81331,2025-04-08 12:00:01,자리,이,$2a$10$yKRhbSyzW0VjtleTx2KZpB,0322814648,NULL,USER,ACTIVE,NULL
gimsangceol@example.org,경상북도 용인시 강남대가 595,\N,65228,2024-09-02 15:48:29,중하,김,$2a$10$PTHp2QAg3yWpVDJKiBkrCM,0423665137,NULL,USER,ACTIVE,NULL
sunogbag@example.com,대전광역시 구로,구 가락81거리 516,88165,2024-11-20 23:10:04,동석,박,$2a$10$4BStzzIa9U6XKGJinBaWW8,0411635314,NULL,USER,ACTIVE,NULL
yangseonghyeon@example.com,대전광역시 성동구 압구정가 736-15,\N,44372,2024-05-23 06:07:33,경하,홍,$2a$10$pfQhIvv3nKW9NJe4x0CIyl,0619097834,NULL,USER,ACTIVE,NULL
cunja97@example.com,전라남도 증평군 오금길,지하195 (성훈윤한마을),30486,2024-03-23 07:16:11,준미,김,$2a$10$M1P3RVXg71aWpCOWCdmSTO,0334216773,NULL,USER,ACTIVE,NULL
jungsugim@example.org,강원도 성남시 수정구 석촌호수9거리 22 (영숙김김동),\N,20942,2023-07-08 20:12:47,지주,김,$2a$10$s4QjBahrytQGosjbT4j3PO,0330118153,NULL,USER,ACTIVE,NULL
ijihyeon@example.org,경기도 안산시 테헤란87거리 717 (순옥이읍),\N,98807,2024-06-04 13:19:10,지유,박,$2a$10$2VnOYqR7z5pubFzCJqozaD,01066993385,NULL,USER,ACTIVE,NULL
nojeongnam@example.net,세종특별자치시 북구 백제고분거리 821-52 (수빈심마을),\N,69633,2025-03-26 14:33:49,영운,윤,$2a$10$Tuo9spqavy9f8Pdko3wBrU,0529611611,NULL,USER,ACTIVE,NULL
jeongsun10@example.org,세종특별자치시 관악구 논현09가 630,\N,80594,2024-01-24 02:56:49,호역,지,$2a$10$ai9T9HTIjtwRUbe3eMsPtE,0426600135,NULL,USER,ACTIVE,NULL
yeongho92@example.com,제주특별자치도 강릉시 강남대가 334 (민준이읍),\N,00224,2024-11-06 23:10:35,상석,박,$2a$10$B40lRCTo19J4fgw7X9OJBB,0439852952,NULL,USER,ACTIVE,NULL
byeongceolim@example.org,인천광역시 종로,구 서초중앙로 지하310,56186,2023-10-19 14:53:52,봉미,조,$2a$10$gRZ8DNj4SUK87rwvj4eDwU,0620318456,NULL,USER,ACTIVE,NULL
coejungsu@example.net,강원도 고양시 석촌호수6길,411 (민수윤윤면),58234,2025-06-05 20:13:40,하라,송,$2a$10$KvZ95a1VC9eI2kdEAAEViU,0429347319,NULL,USER,ACTIVE,NULL
jeonghun87@example.org,부산광역시 광진구 양재천509길,217-46,36900,2024-11-16 08:59:29,주윤,염,$2a$10$7DUzQL7T6087dDkiZMdONI,01007463911,NULL,USER,ACTIVE,NULL
lbag@example.com,충청북도 계룡시 봉은사0가 334,\N,98286,2024-08-01 04:35:03,유윤,홍,$2a$10$q7jgnq7N59CdeVn5Tg6A6Y,0182141531,NULL,USER,ACTIVE,NULL
areumgim@example.org,전라남도 안산시 단원구 역삼3길,63 (현주박동),47084,2024-05-13 17:21:41,수원,김,$2a$10$ZLQtRz6dc3zlNWWzl7MATq,0249670230,NULL,USER,WITHDRAWN,2025-05-20 10:53:04
sujingim@example.com,대구광역시 광진구 테헤란1거리 652,\N,35617,2024-11-24 14:16:07,서하,정,$2a$10$190p5w9JwPC2Vu8BxRUaJp,0442568181,NULL,USER,ACTIVE,NULL
yeongil76@example.org,경상남도 청주시 청원구 가락5가 87-8,\N,50070,2025-05-02 22:25:09,희미,우,$2a$10$4uFC7KcwsMrBaWdKAyWMVw,0328486683,NULL,USER,ACTIVE,NULL
rgim@example.com,제주특별자치도 예산군 오금8로,288,99856,2024-11-19 07:11:31,미하,서,$2a$10$np2TBPxsS2vqJl53kmcUy3,0173279766,NULL,USER,ACTIVE,NULL
kgim@example.org,제주특별자치도 평택시 강남대거리 50-56,\N,22601,2024-03-21 08:10:12,지균,장,$2a$10$ADJqg9EBEZGUBAUZN4jOd8,0322609633,NULL,USER,ACTIVE,NULL
jeongsig72@example.com,충청북도 증평군 서초중앙238가 519 (민지차동),\N,26058,2023-07-15 14:03:39,지지,심,$2a$10$auCkptYf48RzYqqi5RJsVP,0632542127,NULL,USER,ACTIVE,NULL
baesunog@example.net,대구광역시 도봉구 압구정로,423-5 (혜진김권동),07688,2024-11-27 03:28:58,준하,김,$2a$10$Cqwp4uVyy1ZoXwt03eGNSB,0433220969,NULL,USER,ACTIVE,NULL
minseo84@example.net,서울특별시 송파구 석촌호수거리 653,\N,97888,2025-05-09 11:00:25,가하,신,$2a$10$s5uAjtUrvMF3PTKPQvE5aG,0647531438,NULL,USER,ACTIVE,NULL
gimgwangsu@example.com,세종특별자치시 서구 서초중앙가 126,\N,68873,2024-03-16 04:55:09,지영,김,$2a$10$Mp7mpq43jofG0hsouHP7ZP,0647416514,NULL,USER,ACTIVE,NULL
jeongsug60@example.com,서울특별시 영등포구 양재천로,352,64289,2025-02-07 06:41:07,지경,허,$2a$10$tTN2PbjQHBPNGLIkAZIWaY,0547482703,NULL,USER,ACTIVE,NULL
jiabag@example.org,경기도 음성군 논현94로,425-69,90799,2023-12-20 14:14:58,영하,김,$2a$10$75RM094S5ckSLTheNu51NZ,01094504627,NULL,USER,ACTIVE,NULL
yeongsiggim@example.com,전라북도 천안시 동남구 학동68거리 322-55,\N,90466,2024-10-28 15:04:13,저리,김,$2a$10$7uPHuZupjEy1zmrz4viOPy,0269014332,NULL,USER,ACTIVE,NULL
sujinbag@example.net,울산광역시 강동구 영동대9거리 662 (경숙오김면),\N,82988,2024-02-20 01:08:01,은지,국,$2a$10$vp0FOhyftg1Z5MxpLODx1T,0197476162,NULL,USER,WITHDRAWN,2025-06-14 03:55:41
sunja96@example.org,광주광역시 강북구 도산대2길,708,68237,2023-10-28 14:54:36,윤은,윤,$2a$10$2aSzeBamSewDtKShLbkr5E,0521997428,NULL,USER,ACTIVE,NULL
junhocoe@example.net,경기도 부천시 오정구 봉은사584길,398 (주원김최리),39717,2024-07-18 08:55:04,종하,김,$2a$10$mkDoqhgt6wt3Z2bfZegFHX,0422709617,NULL,USER,ACTIVE,NULL
yeongjai@example.net,경기도 철원군 개포길,5-53 (도현이읍),94681,2023-10-10 18:22:35,수우,임,$2a$10$DQqSbxz3b1z1v4WdGHSM1n,0442472198,NULL,USER,ACTIVE,NULL
myeongsugryu@example.org,인천광역시 은평구 압구정가 274-26 (순자양면),\N,29439,2023-09-22 06:23:40,도이,박,$2a$10$YZ4fu2AA9VU6BAebOymB1t,0416652528,NULL,USER,ACTIVE,NULL
mijeonggim@example.org,세종특별자치시 종로,구 개포8거리 지하221 (영환최리),31767,2025-04-11 14:42:42,예지,주,$2a$10$9Ng93FStk0TmmL2OwvIUjm,07087773561,NULL,USER,ACTIVE,NULL
yejungang@example.org,경상남도 단양군 논현거리 918-76 (도윤한읍),\N,36264,2024-03-19 00:57:05,성수,황,$2a$10$wNYxBw26wgI32fbw03GSq4,01003316550,NULL,USER,ACTIVE,NULL
munyeongja@example.net,강원도 충주시 압구정4로,803-22 (시우이박리),99688,2024-05-27 00:55:11,궁지,나,$2a$10$3aUtY8bWqoYEScjKLx4NPq,07049953292,NULL,USER,ACTIVE,NULL
iminseo@example.net,전라북도 수원시 팔달구 가락길,915 (영진최박리),95957,2024-12-22 12:17:00,희운,송,$2a$10$h2Kofg3swr1es93wsYsXc9,0558376365,NULL,USER,ACTIVE,NULL
gimbyeongceol@example.com,울산광역시 강서구 서초중앙3거리 274-82,\N,41171,2025-06-02 22:23:43,상하,김,$2a$10$rWBMBNjgbXC5ZvyI4ly7M5,0333247176,NULL,USER,ACTIVE,NULL
yeonghobag@example.org,울산광역시 서대문구 테헤란거리 796 (아름김면),\N,80594,2024-08-19 00:21:44,성원,최,$2a$10$0L3QawkZgXt25tnj3xbGG9,0322681125,NULL,USER,ACTIVE,NULL
pi@example.org,울산광역시 종로,구 석촌호수가 582,45138,2024-10-07 22:15:57,승경,도,$2a$10$HlejIHEfdcOZzYODRJ245d,0311050659,NULL,USER,ACTIVE,NULL
ijihyeon@example.net,부산광역시 중구 도산대로,56-19,87446,2024-06-24 09:50:40,재유,하,$2a$10$Xd0HYONqq3TXDIPIt6FFja,0612628272,NULL,USER,ACTIVE,NULL
